Drug ID;Drug Name;Generic Name;Drug Class;Indications;Dosage Form;Strength;Route of Administration;Mechanism of Action;Side Effects
190;Hydrochlorothiazide;Hydrochlorothiazide;Thiazide Diuretic;Hypertension;Tablet;50 mg;Oral;Increases urine output;Dehydration
191;Olanzapine;Olanzapine;Atypical Antipsychotic;Schizophrenia;Tablet;20 mg;Oral;Blocks dopamine and serotonin receptors;Drowsiness
192;Levothyroxine;Levothyroxine;Thyroid Hormone;Hypothyroidism;Tablet;100 mcg;Oral;Replaces thyroid hormone;Tremor
193;Quetiapine;Quetiapine;Atypical Antipsychotic;Schizophrenia;Tablet;25 mg;Oral;Blocks dopamine and serotonin receptors;Drowsiness
194;Prednisone;Prednisone;Corticosteroid;Inflammatory Conditions;Tablet;2.5 mg;Oral;Suppresses immune response;Weight gain
195;Fluticasone Propionate / Salmeterol;Fluticasone Propionate / Salmeterol;Corticosteroid / Long-acting Beta Agonist;Asthma;Inhaler;50 mcg / 5 mcg per inhalation;Inhalation;Reduces inflammation and bronchoconstriction; Hoarseness
196;Simvastatin;Simvastatin;Cholesterol-lowering;Hyperlipidemia;Tablet;20 mg;Oral;Inhibits cholesterol synthesis;Muscle pain
197;Amoxicillin;Amoxicillin;Antibiotic;Bacterial Infections;Capsule;500 mg;Oral;Inhibits bacterial cell wall synthesis;Nausea
198;Lisinopril;Lisinopril;Antihypertensive;Hypertension;Tablet;10 mg;Oral;Blocks conversion of angiotensin I to angiotensin II;Cough
199;Albuterol;Albuterol;Bronchodilator;Asthma;Inhaler;180 mcg per inhalation;Inhalation;Stimulates beta-2 adrenergic receptors;Tremor
200;Omeprazole;Omeprazole;Proton Pump Inhibitor;Acid Reflux;Capsule;40 mg;Oral;Reduces stomach acid production;Headache
201;Levothyroxine;Levothyroxine;Thyroid Hormone;Hypothyroidism;Tablet;125 mcg;Oral;Replaces thyroid hormone;Tremor
202;Quetiapine;Quetiapine;Atypical Antipsychotic;Schizophrenia;Tablet;100 mg;Oral;Blocks dopamine and serotonin receptors;Drowsiness
203;Prednisone;Prednisone;Corticosteroid;Inflammatory Conditions;Tablet;10 mg;Oral;Suppresses immune response;Weight gain
204;Fluticasone Propionate / Salmeterol;Fluticasone Propionate / Salmeterol;Corticosteroid / Long-acting Beta Agonist;Asthma;Inhaler;200 mcg / 20 mcg per inhalation;Inhalation;Reduces inflammation and bronchoconstriction; Hoarseness
205;Simvastatin;Simvastatin;Cholesterol-lowering;Hyperlipidemia;Tablet;40 mg;Oral;Inhibits cholesterol synthesis;Muscle pain
206;Amoxicillin;Amoxicillin;Antibiotic;Bacterial Infections;Capsule;250 mg;Oral;Inhibits bacterial cell wall synthesis;Nausea
207;Lisinopril;Lisinopril;Antihypertensive;Hypertension;Tablet;5 mg;Oral;Blocks conversion of angiotensin I to angiotensin II;Cough
208;Albuterol;Albuterol;Bronchodilator;Asthma;Inhaler;180 mcg per inhalation;Inhalation;Stimulates beta-2 adrenergic receptors;Tremor
209;Omeprazole;Omeprazole;Proton Pump Inhibitor;Acid Reflux;Capsule;20 mg;Oral;Reduces stomach acid production;Headache
210;Atenolol;Atenolol;Beta Blocker;Hypertension;Tablet;50 mg;Oral;Blocks beta receptors;Low heart rate
211;Citalopram;Citalopram;Selective Serotonin Reuptake Inhibitor;Depression;Tablet;20 mg;Oral;Inhibits serotonin reuptake;Nausea
212;Esomeprazole;Esomeprazole;Proton Pump Inhibitor;Acid Reflux;Capsule;40 mg;Oral;Reduces stomach acid production;Headache
213;Losartan;Losartan;Angiotensin II Receptor Blocker;Hypertension;Tablet;100 mg;Oral;Blocks angiotensin II receptors;Cough
214;Venlafaxine;Venlafaxine;Selective Serotonin-Norepinephrine Reuptake Inhibitor;Depression;Tablet;75 mg;Oral;Inhibits serotonin and norepinephrine reuptake;Nausea
215;Ranitidine;Ranitidine;H2 Blocker;Gastric Ulcers;Tablet;75 mg;Oral;Reduces stomach acid production;Headache
216;Loratadine;Loratadine;Antihistamine;Allergies;Tablet;10 mg;Oral;Blocks histamine receptors;Drowsiness (less common)
217;Carvedilol;Carvedilol;Alpha-Beta Blocker;Hypertension;Tablet;12.5 mg;Oral;Blocks alpha and beta receptors;Dizziness
218;Sertraline;Sertraline;Selective Serotonin Reuptake Inhibitor;Depression;Tablet;100 mg;Oral;Inhibits serotonin reuptake;Nausea
219;Duloxetine;Duloxetine;Selective Serotonin-Norepinephrine Reuptake Inhibitor;Depression;Tablet;60 mg;Oral;Inhibits serotonin and norepinephrine reuptake;Nausea
220;Bupropion;Bupropion;Atypical Antidepressant;Depression;Tablet;300 mg;Oral;Increases norepinephrine and dopamine;Insomnia
